index,site_store,b2b_b2c,channel_id,region,city_level,store_concept,trade_term,area_range,store_type,urbanization,branch_area,address_2,address_3,showroom_area,warehouse_area,start_month,start_year,end_month,end_year,note,customer_id,customer_name
10,60000540,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 6,HCM,,,8,2010,,,,62c7860e5,customer1633
11,60000541,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 6,HCM,,,8,2010,,,,b9b40fac6,customer1187
12,60000542,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 9,HCM,,,8,2010,,,,2b518dfbe,customer1882
13,60000543,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Mỹ Tho,TGG,,,8,2010,,,,45c97fc3b,customer1748
14,60000545,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 10,HCM,,,8,2010,,,,ed6a79730,customer1160
15,60000546,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Bình Tân,HCM,,,8,2010,,,,2e74f581f,customer1385
16,60000547,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 3,HCM,,,8,2010,,,,48cc1c44c,customer656
17,60000548,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 8,HCM,,,8,2010,,,,97c569abe,customer1115
18,60000549,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 12,HCM,,,8,2010,,,,e18fef5a4,customer819
19,60000551,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Bến Tre,BTE,,,8,2010,,,,f57d66d21,customer1751
20,60000552,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Biên Hoà,ĐNI,,,8,2010,,,,fcbc83e38,customer593
21,60000553,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Đồng Xoài,BPC,,,8,2010,,,,9157a3d3c,customer1662
22,60000554,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Bà Rịa,VTU,,,8,2010,,,,3715883f8,customer1314
23,60000555,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Bà Rịa,VTU,,,8,2010,,,,18d369f01,customer1045
24,60000556,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Phan Thiết,BTN,,,8,2010,,,,e58053fe5,customer1443
25,60000558,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Tân An,LAN,,,8,2010,,,,8e9e8fc6d,customer340
26,60000559,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Phú Nhuận,HCM,,,8,2010,,,,de50d4ba9,customer1780
27,60001167,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Tân Phú,HCM,,,10,2010,,,,153d20c07,customer392
28,60002010,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Thủ Dầu Một,BDG,,,3,2011,,,,aee3c6c2a,customer291
29,60002100,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,H. Củ Chi,HCM,,,7,2011,,,,f08b2965e,customer1308
30,60002115,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Tây Ninh,TNH,,,9,2011,,,,89f802a1b,customer1557
31,60002151,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Biên Hoà,ĐNI,,,11,2011,,,,d4d368a24,customer487
32,60002180,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Gò Vấp,HCM,,,2,2012,,,,d8f7b7bb9,customer1943
33,60002256,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Tân Phú,HCM,,,8,2012,,,,3c5068312,customer1087
34,60002271,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Thủ Dầu Một,BDG,,,9,2012,,,,b3e663496,customer1502
35,60002284,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Tân Phú,HCM,,,10,2012,,,,f40c1946b,customer1492
36,60002304,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 10,HCM,,,11,2012,,,,4c024869c,customer1916
37,60002335,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,Tp. Dĩ An,BDG,,,3,2013,,,,f23bcd669,customer403
38,60002360,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Thủ Đức,HCM,,,4,2013,,,,593994cfb,customer902
39,60002401,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Thủ Đức,HCM,,,6,2013,,,,b96c52b9f,customer1074
40,60002460,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,Tx. Trảng Bàng,TNH,,,11,2013,,,,a9c153fdf,customer1625
41,60002540,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Tân Phú,HCM,,,4,2014,,,,39a7e0cd9,customer286
42,60002621,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Thuận An,BDG,,,7,2014,,,,3aedf8f8d,customer784
43,60002720,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Gò Vấp,HCM,,,12,2014,,,,1ee1c1332,customer273
44,60002766,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 7,HCM,,,3,2015,,,,a55feb39b,customer882
45,60002855,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Thủ Dầu Một,BDG,,,6,2015,,,,725245ab9,customer1249
46,60002925,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Bình Thạnh,HCM,,,10,2015,,,,a97e61529,customer888
47,60002934,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 7,HCM,,,10,2015,,,,757c21094,customer1296
48,60002962,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Gò Vấp,HCM,,,12,2015,,,,f3c7f96aa,customer1541
49,60002963,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,H. Nhà Bè,HCM,,,12,2015,,,,c92c16f81,customer426
50,60002964,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,Tx. La Gi,BTN,,,12,2015,,,,824fb4bf7,customer643
51,60002998,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,H. Bến Lức,LAN,,,3,2016,,,,d2d0c2a4c,customer864
52,60003007,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Gò Vấp,HCM,,,3,2016,1,2020,,5a1647702,customer1220
53,60003008,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 7,HCM,,,3,2016,1,2020,,9500142fd,customer1534
54,60003009,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 11,HCM,,,3,2016,1,2020,,0ec603524,customer1831
55,60003015,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Biên Hoà,ĐNI,,,3,2016,1,2020,,90a32f631,customer695
56,60003016,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Thuận An,BDG,,,3,2016,1,2020,,e69e17b99,customer1386
57,60003017,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Tân Bình,HCM,,,3,2016,1,2020,,72254d526,customer330
58,60003018,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Phan Thiết,BTN,,,3,2016,1,2020,,70ac8db0f,customer793
59,60003026,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Vũng Tàu,VTU,,,4,2016,1,2020,,9db55b33f,customer1815
60,60003037,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Bình Tân,HCM,,,5,2016,,,,ac65efb1f,customer911
61,60003077,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Bình Thạnh,HCM,,,7,2016,,,,0034c4c3b,customer1348
62,60003241,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 2,HCM,,,8,2017,,,,00b7e36a5,customer1885
63,60003255,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 7,HCM,,,9,2017,,,,9d0a962ab,customer1127
64,60003259,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,H. Tân Châu,TNH,,,10,2017,,,,3aa4bc343,customer796
65,60003278,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Bình Thạnh,HCM,,,11,2017,,,,926889fce,customer621
66,60003300,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 10,HCM,,,12,2017,,,,e52d988a5,customer485
67,60003307,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,H. Tân Thành,VTU,,,1,2018,,,,6976bccad,customer2023
68,60003314,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,Tx. Cai Lậy,TGG,,,1,2018,,,,4a67d2537,customer696
69,60003395,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Thủ Đức,HCM,,,6,2018,1,2020,,2064dba3c,customer364
70,60003396,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 2,HCM,,,6,2018,1,2020,,1205a48ba,customer1368
71,60003397,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 10,HCM,,,6,2018,1,2020,,c0dc953d5,customer1195
72,60003410,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Tân Bình,HCM,,,6,2018,1,2020,,9129f73da,customer1551
73,60003415,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 9,HCM,,,6,2018,1,2020,,2df77fc02,customer1665
74,60003450,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,H. Gò Dầu,TNH,,,7,2018,,,,b4a2bc218,customer926
75,60003482,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,Tp. Dĩ An,BDG,,,9,2018,1,2020,,8311ff346,customer1181
76,60003496,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Mỹ Tho,TGG,,,9,2018,,,,51d734209,customer1883
77,60003505,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,H. Gò Dầu,TNH,,,10,2018,,,,321fdcff4,customer418
78,60003517,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,H. Cần Giuộc,LAN,,,11,2018,,,,cc787d8a3,customer1256
79,60003526,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,H. Tuy Phong,BTN,,,11,2018,,,,1de7a4145,customer980
80,60003553,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,H. Đồng Phú,BPC,,,12,2018,,,,e09cc8a13,customer1869
81,60003555,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Thủ Đức,HCM,,,12,2018,,,,41caf9329,customer1602
82,60003556,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,H. Châu Thành,TNH,,,12,2018,,,,e6e5db37f,customer1203
83,60001451,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Cầu Giấy,HNI,,,1,2011,,,,d7e0eb044,customer505
84,60001462,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Hà Đông,HNI,,,1,2011,,,,9593e81a9,customer1076
85,60001633,B2B,ST,KVMB,Cấp 1,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Ngô Quyền,HPG,,,1,2011,,,,d0da0b176,customer240
86,60001815,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Nam Định,NĐH,,,1,2011,,,,b7f747acb,customer1091
87,60001883,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Vĩnh Yên,VPC,,,1,2011,,,,839e0aca1,customer1104
88,60002140,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Hải Dương,HDG,,,10,2011,,,,90677abb0,customer1932
89,60002240,B2B,ST,KVMB,Cấp 1,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Ngô Quyền,HPG,,,6,2012,,,,9d8bd732b,customer486
90,60002370,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Ninh Bình,NBH,,,5,2013,,,,8bd1ab282,customer1318
91,60002371,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Việt Trì,PTO,,,5,2013,,,,3339ee024,customer304
92,60002469,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Thanh Xuân,HNI,,,12,2013,,,,b2eb217ca,customer660
93,60002556,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Hai Bà Trưng,HNI,,,4,2014,1,2020,,a571907f4,customer1824
94,60002557,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Hà Đông,HNI,,,4,2014,1,2020,,be8db5a06,customer1981
95,60002559,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Thanh Xuân,HNI,,,4,2014,1,2020,,9984d1241,customer1102
96,60002560,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Cầu Giấy,HNI,,,4,2014,1,2020,,99862450c,customer388
97,60002568,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Cầu Giấy,HNI,,,4,2014,,,,3f9863303,customer667
98,60002569,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Long Biên,HNI,,,4,2014,,,,d6c19591a,customer1584
99,60002691,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Bắc Giang,BGG,,,10,2014,,,,12e66ed49,customer1167
100,60002692,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Hạ Long,QNH,,,10,2014,,,,d7c74864c,customer658
101,60002840,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Hạ Long,QNH,,,5,2015,1,2020,,14114c775,customer440
102,60002841,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Long Biên,HNI,,,5,2015,1,2020,,19009ca34,customer816
103,60002918,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Long Biên,HNI,,,9,2015,,,,5689e995f,customer1998
104,60002923,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Ba Đình,HNI,,,10,2015,1,2020,,05a0fdf0a,customer450
105,60003004,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Đống Đa,HNI,,,4,2016,1,2020,,c174f4817,customer1242
106,60003035,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Việt Trì,PTO,,,5,2016,1,2020,,f8e558b61,customer1794
107,60003133,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,H. Hoài Đức,HNI,,,12,2016,1,2020,,6aa7353cc,customer684
108,60003285,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Nam Định,NĐH,,,11,2017,,,,1c6f2ab03,customer455
109,60003315,B2B,ST,KVMB,Cấp 1,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Ngô Quyền,HPG,,,1,2018,1,2020,,066b81aad,customer1204
110,60003376,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Hạ Long,QNH,,,5,2018,1,2020,,29c84ffc9,customer583
111,60003382,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Hoàng Mai,HNI,,,5,2018,1,2020,,fa3a9e39d,customer1835
112,60003385,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Từ Liêm,HNI,,,6,2018,1,2020,,fe9b15336,customer1630
113,60003400,B2B,ST,KVMB,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Q. Từ Liêm,HNI,,,6,2018,,,,8fb19d436,customer1571
114,60003455,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Thái Nguyên,TNN,,,7,2018,1,2020,,a67dc3abe,customer1372
115,60003501,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Việt Trì,PTO,,,10,2018,,,,1dcdd8195,customer1257
116,60001228,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Hà Tĩnh,HTH,,,10,2010,,,,4ecd64c04,customer1655
117,60001260,B2B,ST,KVMTR,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMTR-TN,Tp. Tam Kỳ,QNI,,,10,2010,,,,55a5b4f20,customer1345
118,60001280,B2B,ST,KVMTR,Cấp 1,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMTR-TN,Q. Thanh Khê,ĐNG,,,10,2010,,,,cbf7b0341,customer749
119,60001284,B2B,ST,KVMTR,Cấp 1,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMTR-TN,Q. Thanh Khê,ĐNG,,,10,2010,,,,45f35a7fc,customer848
120,60001327,B2B,ST,KVMTR,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMTR-TN,Tp. Huế,TTH,,,10,2010,,,,1b34dda60,customer458
121,60001329,B2B,ST,KVMTR,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMTR-TN,Tp. Huế,TTH,,,10,2010,,,,eb56ad5cb,customer506
122,60001347,B2B,ST,KVMTR,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMTR-TN,Tp. Quảng Ngãi,QNI,,,10,2010,,,,0b54dc857,customer940
123,60001386,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Trà Vinh,TVH,,,11,2010,,,,f02ad7e21,customer1438
124,60001427,B2B,ST,KVMTR,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMTR-TN,Tp. Đông Hà,QTI,,,12,2010,,,,380341a0b,customer1619
125,60002138,B2B,ST,KVMB,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMB,Tp. Thanh Hóa,THA,,,11,2011,,,,3aedf521d,customer1750
